code,year,month,name,box2016,box,customer,cinematimes,investment,director1,director2,dfans,dst,ms1,ms1fans,ms1st,fs1,fs1fans,fs1st,ms2,ms2fans,ms2st,fs2,fs2fans,fs2st,guests,gsfans,gs,type,love,crime,history,other,comedy,action,prize,jjuj,jjij,hbij,jxiaj,jmaj,jluj,bhuj,jxioj,rank,total,sequels,remake,rank2time,rank2dou, baitotal , el ,
1,2009,9,建国大业,5.1042 ,4.16,1305,24.9,0.3,韩三平,黄建新,5456,2011.3.23,唐国强,37179,2011.3.12,许晴,8381242,2011.3.23,张国立,475478,2011.3.13,邬君梅,403431,2010.3.2,陈坤,78031895 ,2009.11.13,历史、战争,0,0,1,0,0,0,2011华表奖优秀故事片奖、2010金鹿奖最佳华语故事片、2010百花奖最佳影片奖,0,0,1,0,0,1,1,0,6.1,111541,0,1,,,,108.4,
2,2009,12,十月围城,3.5705 ,2.91,866,16.77,,陈德森,,545022,2010.3.9,甄子丹,6078838,2010.3.30,范冰冰,39431925,2013.12.25,梁家辉,0,,李宇春,3517480,2009.9.10,谢霆锋,,,历史、战争,0,0,1,0,0,0,2011华表奖优秀合拍片奖、2010金像奖最佳电影,0,0,1,1,0,0,0,0,7.7,204435,0,1,,,,108.4,
3,2009,1,赤壁(下),3.2024 ,2.61,773,16.61,,吴宇森,,233738,2015.7.16,梁朝伟,1504853,2010.5.27,赵薇,73974278,2009.10.28,金城武,0,,林志玲,9901922,2009.8.28,佟大为,22612580 ,2009.8.28,历史、战争,0,0,1,0,0,0,2009华表奖优秀合拍片奖,0,0,1,0,0,0,0,0,6.5,84042,1,1,,,,108.4,
4,2009,12,三枪拍案惊奇,3.1656 ,2.58,802,17.83,,张艺谋,,0,,孙红雷,11381520,2009.9.29,闫妮,377610,2011/6/28,小沈阳,12835247,2009.8.28,,,,赵本山,5524638 ,2010.11.20,惊悚、悬疑、犯罪,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,4.7,68824,0,0,,,,108.4,
5,2009,9,风声,2.7484 ,2.24,669,17.05,,高群书,陈国富,0,,黄晓明,39327844,1955/1/15,周迅,4309367,2011.5.4,苏有朋,22655876,2010.12.14,李冰冰,35118659,2009.8.28,张涵予,636765,2009.8.28,惊悚、悬疑、犯罪,0,1,0,0,0,0,2011华表奖优秀合拍片奖,0,0,1,0,0,0,0,0,8,234005,0,1,,,,108.4,
6,2009,4,南京！南京！,2.0613 ,1.68,575,14.98,,陆川,,3431517,2009.8.28,刘烨,48578201,2012.11.16,高圆圆,43351659,2009.12.28,范伟,741441,2009.8.28,秦岚,5235766,2009.8.28,,,,历史、战争,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,7.5,102188,0,1,,,,108.4,
7,2009,1,游龙戏凤,1.3987 ,1.14,347,9.76,,刘伟强,,3295350,2010.8.31,刘德华,0,1900/1/0,舒淇,30575000,2010.3.21,张涵予,636765,2009.8.28,何韵诗,0,,张歆艺,,2009.8.28,爱情片,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,6,54117,0,0,,,,108.4,
8,2009,1,疯狂的赛车,1.3374 ,1.09,366,10.22,,宁浩,,1116982,2009.9.10,黄渤,21415967,2009.11.23,,,,九孔,13204,1900/1/0,,,,,,,喜剧,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,7.8,153825,0,0,,,,108.4,
9,2009,7,大内密探灵灵狗,1.2761 ,1.04,366,8.98,,王晶,,7360294,2011.6.2,古天乐,7675122,2010.4.15,徐熙媛,0,2010.4.15,佟大为,22615419,2009.8.28,小宋佳,0,2009.8.28,,,,喜剧,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,7.6,138448,1,0,,,,108.4,
10,2009,8,非常完美,1.1778 ,0.9599,308,10.06,,金依萌,,550377,2009.9.5,何润东,8928094,2009.8.28,章子怡,0,2011.1.4,苏志燮,794625,2014.1.3,范冰冰,39450311,2013.12.25,,,,爱情片,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,6.1,145582,0,0,,,,108.4,
11,2009,7,窃听风云,1.1022 ,0.8983,314,7.75,,麦兆辉,庄文强,233439,"2010.4.17,",古天乐,7675122,2010.4.15,张静初,1483800,2009.8.28,刘青云,420162,2012.5.22,,,,吴彦祖,7426244 ,2011.8.26,惊悚、悬疑、犯罪,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,7.4,156144,1,0,,,,108.4,
12,2009,1,喜羊羊与灰太狼之牛气冲天,1.0578 ,0.8621,344,7.09,,赵崇邦,,0,,,,,,,,,,,,,,,,,其他,0,0,0,1,0,0,2009华表奖优秀动画片奖,0,0,1,0,0,0,0,0,4.2,18583,1,0,,,,108.4,
13,2009,11,花木兰,1.0451 ,0.8518,,,,马楚成,,275403,2010.10.10,陈坤,78031491,2009.11.13,赵薇,74000000,2009.10.28,胡军,1965328,2010.12.2,刘雨欣,3013433,2009.8.28,房祖名,8296562 ,2009.8.28,历史、战争,0,0,1,0,0,0,2009百花奖优秀故事片奖,0,0,0,0,0,0,1,0,6.3,69545,0,1,,,,108.4,
14,2009,7,麦兜响当当,0.9264 ,0.755,368,6.6,,谢立文,,0,,,,,,,,,,,,,,,,,其他,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,7.3,76189,0,0,,,,108.4,
